"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count
	"Cecum"	"21041"	"California"	"06"	48620
	"Cecum"	"21041"	"Colorado"	"08"	6338
	"Cecum"	"21041"	"Connecticut"	"09"	6450
	"Cecum"	"21041"	"Delaware"	"10"	1538
	"Cecum"	"21041"	"District of Columbia"	"11"	900
	"Cecum"	"21041"	"Florida"	"12"	35970
	"Cecum"	"21041"	"Georgia"	"13"	13098
	"Cecum"	"21041"	"Hawaii"	"15"	1642
	"Cecum"	"21041"	"Idaho"	"16"	2241
	"Cecum"	"21041"	"Illinois"	"17"	22440
	"Cecum"	"21041"	"Indiana"	"18"	11274
	"Cecum"	"21041"	"Iowa"	"19"	6749
	"Cecum"	"21041"	"Kansas"	"20"	4950
	"Cecum"	"21041"	"Kentucky"	"21"	8504
	"Cecum"	"21041"	"Louisiana"	"22"	7705
	"Cecum"	"21041"	"Maine"	"23"	2595
	"Cecum"	"21041"	"Maryland"	"24"	8418
	"Cecum"	"21041"	"Massachusetts"	"25"	11301
	"Cecum"	"21041"	"Michigan"	"26"	16782
	"Cecum"	"21041"	"Minnesota"	"27"	8824
	"Cecum"	"21041"	"Mississippi"	"28"	4397
	"Cecum"	"21041"	"Missouri"	"29"	10875
	"Cecum"	"21041"	"Montana"	"30"	1670
	"Cecum"	"21041"	"Nebraska"	"31"	3455
	"Cecum"	"21041"	"Nevada"	"32"	3524
	"Cecum"	"21041"	"New Hampshire"	"33"	2138
	"Cecum"	"21041"	"New Jersey"	"34"	15330
	"Cecum"	"21041"	"New Mexico"	"35"	2654
	"Cecum"	"21041"	"New York"	"36"	31747
	"Cecum"	"21041"	"North Carolina"	"37"	13741
	"Cecum"	"21041"	"North Dakota"	"38"	1343
	"Cecum"	"21041"	"Ohio"	"39"	21307
	"Cecum"	"21041"	"Oklahoma"	"40"	5640
	"Cecum"	"21041"	"Oregon"	"41"	5976
	"Cecum"	"21041"	"Pennsylvania"	"42"	26050
	"Cecum"	"21041"	"Rhode Island"	"44"	1925
	"Cecum"	"21041"	"South Carolina"	"45"	7294
	"Cecum"	"21041"	"South Dakota"	"46"	1302
	"Cecum"	"21041"	"Tennessee"	"47"	10331
	"Cecum"	"21041"	"Texas"	"48"	28867
	"Cecum"	"21041"	"Utah"	"49"	2649
	"Cecum"	"21041"	"Vermont"	"50"	1065
	"Cecum"	"21041"	"Virginia"	"51"	10640
	"Cecum"	"21041"	"Washington"	"53"	9743
	"Cecum"	"21041"	"West Virginia"	"54"	4352
	"Cecum"	"21041"	"Wisconsin"	"55"	9412
	"Cecum"	"21041"	"Wyoming"	"56"	791
	"Appendix"	"21042"	"Alabama"	"01"	1191
	"Appendix"	"21042"	"Alaska"	"02"	139
	"Appendix"	"21042"	"Arizona"	"04"	1228
	"Appendix"	"21042"	"Arkansas"	"05"	706
	"Appendix"	"21042"	"California"	"06"	6970
	"Appendix"	"21042"	"Colorado"	"08"	1211
	"Appendix"	"21042"	"Connecticut"	"09"	1116
	"Appendix"	"21042"	"Delaware"	"10"	285
	"Appendix"	"21042"	"District of Columbia"	"11"	164
	"Appendix"	"21042"	"Florida"	"12"	4608
	"Appendix"	"21042"	"Georgia"	"13"	2242
	"Appendix"	"21042"	"Hawaii"	"15"	322
	"Appendix"	"21042"	"Idaho"	"16"	405
	"Appendix"	"21042"	"Illinois"	"17"	3328
	"Appendix"	"21042"	"Indiana"	"18"	1475
	"Appendix"	"21042"	"Iowa"	"19"	871
	"Appendix"	"21042"	"Kansas"	"20"	781
	"Appendix"	"21042"	"Kentucky"	"21"	1373
	"Appendix"	"21042"	"Louisiana"	"22"	994
	"Appendix"	"21042"	"Maine"	"23"	478
	"Appendix"	"21042"	"Maryland"	"24"	1447
	"Appendix"	"21042"	"Massachusetts"	"25"	1727
	"Appendix"	"21042"	"Michigan"	"26"	2563
	"Appendix"	"21042"	"Minnesota"	"27"	1587
	"Appendix"	"21042"	"Mississippi"	"28"	633
	"Appendix"	"21042"	"Missouri"	"29"	1628
	"Appendix"	"21042"	"Montana"	"30"	294
	"Appendix"	"21042"	"Nebraska"	"31"	482
	"Appendix"	"21042"	"Nevada"	"32"	411
	"Appendix"	"21042"	"New Hampshire"	"33"	426
	"Appendix"	"21042"	"New Jersey"	"34"	2493
	"Appendix"	"21042"	"New Mexico"	"35"	369
	"Appendix"	"21042"	"New York"	"36"	5045
	"Appendix"	"21042"	"North Carolina"	"37"	2412
	"Appendix"	"21042"	"North Dakota"	"38"	163
	"Appendix"	"21042"	"Ohio"	"39"	3093
	"Appendix"	"21042"	"Oklahoma"	"40"	813
	"Appendix"	"21042"	"Oregon"	"41"	955
	"Appendix"	"21042"	"Pennsylvania"	"42"	3572
	"Appendix"	"21042"	"Rhode Island"	"44"	314
	"Appendix"	"21042"	"South Carolina"	"45"	1266
	"Appendix"	"21042"	"South Dakota"	"46"	205
	"Appendix"	"21042"	"Tennessee"	"47"	1529
	"Appendix"	"21042"	"Texas"	"48"	4947
	"Appendix"	"21042"	"Utah"	"49"	590
	"Appendix"	"21042"	"Vermont"	"50"	165
	"Appendix"	"21042"	"Virginia"	"51"	1857
	"Appendix"	"21042"	"Washington"	"53"	1777
	"Appendix"	"21042"	"West Virginia"	"54"	458
	"Appendix"	"21042"	"Wisconsin"	"55"	1742
	"Appendix"	"21042"	"Wyoming"	"56"	133
	"Ascending Colon"	"21043"	"Alabama"	"01"	7315
	"Ascending Colon"	"21043"	"Alaska"	"02"	596
	"Ascending Colon"	"21043"	"Arizona"	"04"	7423
	"Ascending Colon"	"21043"	"Arkansas"	"05"	4605
	"Ascending Colon"	"21043"	"California"	"06"	39823
	"Ascending Colon"	"21043"	"Colorado"	"08"	4867
	"Ascending Colon"	"21043"	"Connecticut"	"09"	5554
	"Ascending Colon"	"21043"	"Delaware"	"10"	1299
	"Ascending Colon"	"21043"	"District of Columbia"	"11"	932
	"Ascending Colon"	"21043"	"Florida"	"12"	34308
	"Ascending Colon"	"21043"	"Georgia"	"13"	12101
	"Ascending Colon"	"21043"	"Hawaii"	"15"	1826
	"Ascending Colon"	"21043"	"Idaho"	"16"	1684
	"Ascending Colon"	"21043"	"Illinois"	"17"	20085
	"Ascending Colon"	"21043"	"Indiana"	"18"	10000
	"Ascending Colon"	"21043"	"Iowa"	"19"	5620
	"Ascending Colon"	"21043"	"Kansas"	"20"	4448
	"Ascending Colon"	"21043"	"Kentucky"	"21"	7027
	"Ascending Colon"	"21043"	"Louisiana"	"22"	7070
	"Ascending Colon"	"21043"	"Maine"	"23"	2255
	"Ascending Colon"	"21043"	"Maryland"	"24"	7771
	"Ascending Colon"	"21043"	"Massachusetts"	"25"	9531
	"Ascending Colon"	"21043"	"Michigan"	"26"	15190
	"Ascending Colon"	"21043"	"Minnesota"	"27"	7468
	"Ascending Colon"	"21043"	"Mississippi"	"28"	4186
	"Ascending Colon"	"21043"	"Missouri"	"29"	9901
	"Ascending Colon"	"21043"	"Montana"	"30"	1409
	"Ascending Colon"	"21043"	"Nebraska"	"31"	2989
	"Ascending Colon"	"21043"	"Nevada"	"32"	2635
	"Ascending Colon"	"21043"	"New Hampshire"	"33"	1670
	"Ascending Colon"	"21043"	"New Jersey"	"34"	14746
	"Ascending Colon"	"21043"	"New Mexico"	"35"	1958
	"Ascending Colon"	"21043"	"New York"	"36"	29598
	"Ascending Colon"	"21043"	"North Carolina"	"37"	12649
	"Ascending Colon"	"21043"	"North Dakota"	"38"	1014
	"Ascending Colon"	"21043"	"Ohio"	"39"	18179
	"Ascending Colon"	"21043"	"Oklahoma"	"40"	5526
	"Ascending Colon"	"21043"	"Oregon"	"41"	4668
	"Ascending Colon"	"21043"	"Pennsylvania"	"42"	23159
	"Ascending Colon"	"21043"	"Rhode Island"	"44"	1602
	"Ascending Colon"	"21043"	"South Carolina"	"45"	6319
	"Ascending Colon"	"21043"	"South Dakota"	"46"	1311
	"Ascending Colon"	"21043"	"Tennessee"	"47"	9455
	"Ascending Colon"	"21043"	"Texas"	"48"	27523
	"Ascending Colon"	"21043"	"Utah"	"49"	1871
	"Ascending Colon"	"21043"	"Vermont"	"50"	902
	"Ascending Colon"	"21043"	"Virginia"	"51"	10267
	"Ascending Colon"	"21043"	"Washington"	"53"	7763
	"Ascending Colon"	"21043"	"West Virginia"	"54"	3301
	"Ascending Colon"	"21043"	"Wisconsin"	"55"	8625
	"Ascending Colon"	"21043"	"Wyoming"	"56"	596
	"Hepatic Flexure"	"21044"	"Alabama"	"01"	1717
	"Hepatic Flexure"	"21044"	"Alaska"	"02"	201
	"Hepatic Flexure"	"21044"	"Arizona"	"04"	1745
	"Hepatic Flexure"	"21044"	"Arkansas"	"05"	1152
	"Hepatic Flexure"	"21044"	"California"	"06"	11574
	"Hepatic Flexure"	"21044"	"Colorado"	"08"	1338
	"Hepatic Flexure"	"21044"	"Connecticut"	"09"	1197
	"Hepatic Flexure"	"21044"	"Delaware"	"10"	404
	"Hepatic Flexure"	"21044"	"District of Columbia"	"11"	170
	"Hepatic Flexure"	"21044"	"Florida"	"12"	8904
	"Hepatic Flexure"	"21044"	"Georgia"	"13"	2630
	"Hepatic Flexure"	"21044"	"Hawaii"	"15"	412
	"Hepatic Flexure"	"21044"	"Idaho"	"16"	479
	"Hepatic Flexure"	"21044"	"Illinois"	"17"	5027
	"Hepatic Flexure"	"21044"	"Indiana"	"18"	2588
	"Hepatic Flexure"	"21044"	"Iowa"	"19"	1959
	"Hepatic Flexure"	"21044"	"Kansas"	"20"	1085
	"Hepatic Flexure"	"21044"	"Kentucky"	"21"	2045
	"Hepatic Flexure"	"21044"	"Louisiana"	"22"	1793
	"Hepatic Flexure"	"21044"	"Maine"	"23"	550
	"Hepatic Flexure"	"21044"	"Maryland"	"24"	1704
	"Hepatic Flexure"	"21044"	"Massachusetts"	"25"	2553
	"Hepatic Flexure"	"21044"	"Michigan"	"26"	3457
	"Hepatic Flexure"	"21044"	"Minnesota"	"27"	2337
	"Hepatic Flexure"	"21044"	"Mississippi"	"28"	873
	"Hepatic Flexure"	"21044"	"Missouri"	"29"	2613
	"Hepatic Flexure"	"21044"	"Montana"	"30"	395
	"Hepatic Flexure"	"21044"	"Nebraska"	"31"	783
	"Hepatic Flexure"	"21044"	"Nevada"	"32"	587
	"Hepatic Flexure"	"21044"	"New Hampshire"	"33"	507
	"Hepatic Flexure"	"21044"	"New Jersey"	"34"	3268
	"Hepatic Flexure"	"21044"	"New Mexico"	"35"	567
	"Hepatic Flexure"	"21044"	"New York"	"36"	7298
	"Hepatic Flexure"	"21044"	"North Carolina"	"37"	3161
	"Hepatic Flexure"	"21044"	"North Dakota"	"38"	429
	"Hepatic Flexure"	"21044"	"Ohio"	"39"	4089
	"Hepatic Flexure"	"21044"	"Oklahoma"	"40"	1148
	"Hepatic Flexure"	"21044"	"Oregon"	"41"	1516
	"Hepatic Flexure"	"21044"	"Pennsylvania"	"42"	5782
	"Hepatic Flexure"	"21044"	"Rhode Island"	"44"	469
	"Hepatic Flexure"	"21044"	"South Carolina"	"45"	1678
	"Hepatic Flexure"	"21044"	"South Dakota"	"46"	388
	"Hepatic Flexure"	"21044"	"Tennessee"	"47"	2312
	"Hepatic Flexure"	"21044"	"Texas"	"48"	6398
	"Hepatic Flexure"	"21044"	"Utah"	"49"	492
	"Hepatic Flexure"	"21044"	"Vermont"	"50"	236
	"Hepatic Flexure"	"21044"	"Virginia"	"51"	2302
	"Hepatic Flexure"	"21044"	"Washington"	"53"	2184
	"Hepatic Flexure"	"21044"	"West Virginia"	"54"	842
	"Hepatic Flexure"	"21044"	"Wisconsin"	"55"	2258
	"Hepatic Flexure"	"21044"	"Wyoming"	"56"	197
	"Transverse Colon"	"21045"	"Alabama"	"01"	3286
	"Transverse Colon"	"21045"	"Alaska"	"02"	341
	"Transverse Colon"	"21045"	"Arizona"	"04"	3605
	"Transverse Colon"	"21045"	"Arkansas"	"05"	2082
	"Transverse Colon"	"21045"	"California"	"06"	20921
	"Transverse Colon"	"21045"	"Colorado"	"08"	2574
	"Transverse Colon"	"21045"	"Connecticut"	"09"	2787
	"Transverse Colon"	"21045"	"Delaware"	"10"	722
	"Transverse Colon"	"21045"	"District of Columbia"	"11"	409
	"Transverse Colon"	"21045"	"Florida"	"12"	15725
	"Transverse Colon"	"21045"	"Georgia"	"13"	5830
	"Transverse Colon"	"21045"	"Hawaii"	"15"	1008
	"Transverse Colon"	"21045"	"Idaho"	"16"	864
	"Transverse Colon"	"21045"	"Illinois"	"17"	9438
	"Transverse Colon"	"21045"	"Indiana"	"18"	4701
	"Transverse Colon"	"21045"	"Iowa"	"19"	3068
	"Transverse Colon"	"21045"	"Kansas"	"20"	1977
	"Transverse Colon"	"21045"	"Kentucky"	"21"	3856
	"Transverse Colon"	"21045"	"Louisiana"	"22"	3441
	"Transverse Colon"	"21045"	"Maine"	"23"	1232
	"Transverse Colon"	"21045"	"Maryland"	"24"	3665
	"Transverse Colon"	"21045"	"Massachusetts"	"25"	4856
	"Transverse Colon"	"21045"	"Michigan"	"26"	6951
	"Transverse Colon"	"21045"	"Minnesota"	"27"	4078
	"Transverse Colon"	"21045"	"Mississippi"	"28"	2041
	"Transverse Colon"	"21045"	"Missouri"	"29"	4808
	"Transverse Colon"	"21045"	"Montana"	"30"	720
	"Transverse Colon"	"21045"	"Nebraska"	"31"	1556
	"Transverse Colon"	"21045"	"Nevada"	"32"	1283
	"Transverse Colon"	"21045"	"New Hampshire"	"33"	939
	"Transverse Colon"	"21045"	"New Jersey"	"34"	6334
	"Transverse Colon"	"21045"	"New Mexico"	"35"	965
	"Transverse Colon"	"21045"	"New York"	"36"	13895
	"Transverse Colon"	"21045"	"North Carolina"	"37"	6117
	"Transverse Colon"	"21045"	"North Dakota"	"38"	638
	"Transverse Colon"	"21045"	"Ohio"	"39"	8349
	"Transverse Colon"	"21045"	"Oklahoma"	"40"	2283
	"Transverse Colon"	"21045"	"Oregon"	"41"	2772
	"Transverse Colon"	"21045"	"Pennsylvania"	"42"	11013
	"Transverse Colon"	"21045"	"Rhode Island"	"44"	794
	"Transverse Colon"	"21045"	"South Carolina"	"45"	3063
	"Transverse Colon"	"21045"	"South Dakota"	"46"	641
	"Transverse Colon"	"21045"	"Tennessee"	"47"	4350
	"Transverse Colon"	"21045"	"Texas"	"48"	12437
	"Transverse Colon"	"21045"	"Utah"	"49"	953
	"Transverse Colon"	"21045"	"Vermont"	"50"	438
	"Transverse Colon"	"21045"	"Virginia"	"51"	4874
	"Transverse Colon"	"21045"	"Washington"	"53"	4086
	"Transverse Colon"	"21045"	"West Virginia"	"54"	1683
	"Transverse Colon"	"21045"	"Wisconsin"	"55"	4340
	"Transverse Colon"	"21045"	"Wyoming"	"56"	320
	"Splenic Flexure"	"21046"	"Alabama"	"01"	1181
	"Splenic Flexure"	"21046"	"Alaska"	"02"	125
	"Splenic Flexure"	"21046"	"Arizona"	"04"	1043
	"Splenic Flexure"	"21046"	"Arkansas"	"05"	736
	"Splenic Flexure"	"21046"	"California"	"06"	7369
	"Splenic Flexure"	"21046"	"Colorado"	"08"	856
	"Splenic Flexure"	"21046"	"Connecticut"	"09"	816
	"Splenic Flexure"	"21046"	"Delaware"	"10"	233
	"Splenic Flexure"	"21046"	"District of Columbia"	"11"	139
	"Splenic Flexure"	"21046"	"Florida"	"12"	5762
	"Splenic Flexure"	"21046"	"Georgia"	"13"	1981
	"Splenic Flexure"	"21046"	"Hawaii"	"15"	350
	"Splenic Flexure"	"21046"	"Idaho"	"16"	290
	"Splenic Flexure"	"21046"	"Illinois"	"17"	3077
	"Splenic Flexure"	"21046"	"Indiana"	"18"	1525
	"Splenic Flexure"	"21046"	"Iowa"	"19"	930
	"Splenic Flexure"	"21046"	"Kansas"	"20"	643
	"Splenic Flexure"	"21046"	"Kentucky"	"21"	1273
	"Splenic Flexure"	"21046"	"Louisiana"	"22"	1299
	"Splenic Flexure"	"21046"	"Maine"	"23"	322
	"Splenic Flexure"	"21046"	"Maryland"	"24"	1212
	"Splenic Flexure"	"21046"	"Massachusetts"	"25"	1636
	"Splenic Flexure"	"21046"	"Michigan"	"26"	2116
	"Splenic Flexure"	"21046"	"Minnesota"	"27"	1265
	"Splenic Flexure"	"21046"	"Mississippi"	"28"	696
	"Splenic Flexure"	"21046"	"Missouri"	"29"	1506
	"Splenic Flexure"	"21046"	"Montana"	"30"	235
	"Splenic Flexure"	"21046"	"Nebraska"	"31"	451
	"Splenic Flexure"	"21046"	"Nevada"	"32"	426
	"Splenic Flexure"	"21046"	"New Hampshire"	"33"	309
	"Splenic Flexure"	"21046"	"New Jersey"	"34"	2307
	"Splenic Flexure"	"21046"	"New Mexico"	"35"	348
	"Splenic Flexure"	"21046"	"New York"	"36"	4817
	"Splenic Flexure"	"21046"	"North Carolina"	"37"	2043
	"Splenic Flexure"	"21046"	"North Dakota"	"38"	217
	"Splenic Flexure"	"21046"	"Ohio"	"39"	2611
	"Splenic Flexure"	"21046"	"Oklahoma"	"40"	811
	"Splenic Flexure"	"21046"	"Oregon"	"41"	838
	"Splenic Flexure"	"21046"	"Pennsylvania"	"42"	3713
	"Splenic Flexure"	"21046"	"Rhode Island"	"44"	296
	"Splenic Flexure"	"21046"	"South Carolina"	"45"	1157
	"Splenic Flexure"	"21046"	"South Dakota"	"46"	162
	"Splenic Flexure"	"21046"	"Tennessee"	"47"	1384
	"Splenic Flexure"	"21046"	"Texas"	"48"	4206
	"Splenic Flexure"	"21046"	"Utah"	"49"	288
	"Splenic Flexure"	"21046"	"Vermont"	"50"	162
	"Splenic Flexure"	"21046"	"Virginia"	"51"	1612
	"Splenic Flexure"	"21046"	"Washington"	"53"	1353
	"Splenic Flexure"	"21046"	"West Virginia"	"54"	500
	"Splenic Flexure"	"21046"	"Wisconsin"	"55"	1266
	"Splenic Flexure"	"21046"	"Wyoming"	"56"	112
	"Descending Colon"	"21047"	"Alabama"	"01"	2323
	"Descending Colon"	"21047"	"Alaska"	"02"	213
	"Descending Colon"	"21047"	"Arizona"	"04"	2060
	"Descending Colon"	"21047"	"Arkansas"	"05"	1346
	"Descending Colon"	"21047"	"California"	"06"	13090
	"Descending Colon"	"21047"	"Colorado"	"08"	1323
	"Descending Colon"	"21047"	"Connecticut"	"09"	1649
	"Descending Colon"	"21047"	"Delaware"	"10"	396
	"Descending Colon"	"21047"	"District of Columbia"	"11"	348
	"Descending Colon"	"21047"	"Florida"	"12"	10372
	"Descending Colon"	"21047"	"Georgia"	"13"	4226
	"Descending Colon"	"21047"	"Hawaii"	"15"	786
	"Descending Colon"	"21047"	"Idaho"	"16"	516
	"Descending Colon"	"21047"	"Illinois"	"17"	6313
	"Descending Colon"	"21047"	"Indiana"	"18"	2779
	"Descending Colon"	"21047"	"Iowa"	"19"	1408
	"Descending Colon"	"21047"	"Kansas"	"20"	1122
	"Descending Colon"	"21047"	"Kentucky"	"21"	2236
	"Descending Colon"	"21047"	"Louisiana"	"22"	2644
	"Descending Colon"	"21047"	"Maine"	"23"	592
	"Descending Colon"	"21047"	"Maryland"	"24"	2583
	"Descending Colon"	"21047"	"Massachusetts"	"25"	2963
	"Descending Colon"	"21047"	"Michigan"	"26"	4375
	"Descending Colon"	"21047"	"Minnesota"	"27"	1928
	"Descending Colon"	"21047"	"Mississippi"	"28"	1412
	"Descending Colon"	"21047"	"Missouri"	"29"	2753
	"Descending Colon"	"21047"	"Montana"	"30"	370
	"Descending Colon"	"21047"	"Nebraska"	"31"	827
	"Descending Colon"	"21047"	"Nevada"	"32"	792
	"Descending Colon"	"21047"	"New Hampshire"	"33"	496
	"Descending Colon"	"21047"	"New Jersey"	"34"	4692
	"Descending Colon"	"21047"	"New Mexico"	"35"	621
	"Descending Colon"	"21047"	"New York"	"36"	9609
	"Descending Colon"	"21047"	"North Carolina"	"37"	3847
	"Descending Colon"	"21047"	"North Dakota"	"38"	287
	"Descending Colon"	"21047"	"Ohio"	"39"	5380
	"Descending Colon"	"21047"	"Oklahoma"	"40"	1688
	"Descending Colon"	"21047"	"Oregon"	"41"	1302
	"Descending Colon"	"21047"	"Pennsylvania"	"42"	6580
	"Descending Colon"	"21047"	"Rhode Island"	"44"	471
	"Descending Colon"	"21047"	"South Carolina"	"45"	2155
	"Descending Colon"	"21047"	"South Dakota"	"46"	318
	"Descending Colon"	"21047"	"Tennessee"	"47"	2884
	"Descending Colon"	"21047"	"Texas"	"48"	8633
	"Descending Colon"	"21047"	"Utah"	"49"	615
	"Descending Colon"	"21047"	"Vermont"	"50"	228
	"Descending Colon"	"21047"	"Virginia"	"51"	3122
	"Descending Colon"	"21047"	"Washington"	"53"	2255
	"Descending Colon"	"21047"	"West Virginia"	"54"	1090
	"Descending Colon"	"21047"	"Wisconsin"	"55"	2185
	"Descending Colon"	"21047"	"Wyoming"	"56"	167
	"Sigmoid Colon"	"21048"	"Alabama"	"01"	10243
	"Sigmoid Colon"	"21048"	"Alaska"	"02"	1221
	"Sigmoid Colon"	"21048"	"Arizona"	"04"	9825
	"Sigmoid Colon"	"21048"	"Arkansas"	"05"	6588
	"Sigmoid Colon"	"21048"	"California"	"06"	64449
	"Sigmoid Colon"	"21048"	"Colorado"	"08"	7437
	"Sigmoid Colon"	"21048"	"Connecticut"	"09"	7714
	"Sigmoid Colon"	"21048"	"Delaware"	"10"	1778
	"Sigmoid Colon"	"21048"	"District of Columbia"	"11"	967
	"Sigmoid Colon"	"21048"	"Florida"	"12"	43756
	"Sigmoid Colon"	"21048"	"Georgia"	"13"	16440
	"Sigmoid Colon"	"21048"	"Hawaii"	"15"	3506
	"Sigmoid Colon"	"21048"	"Idaho"	"16"	2626
	"Sigmoid Colon"	"21048"	"Illinois"	"17"	27550
	"Sigmoid Colon"	"21048"	"Indiana"	"18"	13135
	"Sigmoid Colon"	"21048"	"Iowa"	"19"	7167
	"Sigmoid Colon"	"21048"	"Kansas"	"20"	5853
	"Sigmoid Colon"	"21048"	"Kentucky"	"21"	10604
	"Sigmoid Colon"	"21048"	"Louisiana"	"22"	10653
	"Sigmoid Colon"	"21048"	"Maine"	"23"	2995
	"Sigmoid Colon"	"21048"	"Maryland"	"24"	9801
	"Sigmoid Colon"	"21048"	"Massachusetts"	"25"	13540
	"Sigmoid Colon"	"21048"	"Michigan"	"26"	18926
	"Sigmoid Colon"	"21048"	"Minnesota"	"27"	9432
	"Sigmoid Colon"	"21048"	"Mississippi"	"28"	5635
	"Sigmoid Colon"	"21048"	"Missouri"	"29"	12963
	"Sigmoid Colon"	"21048"	"Montana"	"30"	2145
	"Sigmoid Colon"	"21048"	"Nebraska"	"31"	4003
	"Sigmoid Colon"	"21048"	"Nevada"	"32"	4554
	"Sigmoid Colon"	"21048"	"New Hampshire"	"33"	2672
	"Sigmoid Colon"	"21048"	"New Jersey"	"34"	18999
	"Sigmoid Colon"	"21048"	"New Mexico"	"35"	3535
	"Sigmoid Colon"	"21048"	"New York"	"36"	41251
	"Sigmoid Colon"	"21048"	"North Carolina"	"37"	17691
	"Sigmoid Colon"	"21048"	"North Dakota"	"38"	1539
	"Sigmoid Colon"	"21048"	"Ohio"	"39"	24455
	"Sigmoid Colon"	"21048"	"Oklahoma"	"40"	7635
	"Sigmoid Colon"	"21048"	"Oregon"	"41"	6863
	"Sigmoid Colon"	"21048"	"Pennsylvania"	"42"	31838
	"Sigmoid Colon"	"21048"	"Rhode Island"	"44"	2429
	"Sigmoid Colon"	"21048"	"South Carolina"	"45"	9407
	"Sigmoid Colon"	"21048"	"South Dakota"	"46"	1503
	"Sigmoid Colon"	"21048"	"Tennessee"	"47"	12422
	"Sigmoid Colon"	"21048"	"Texas"	"48"	39475
	"Sigmoid Colon"	"21048"	"Utah"	"49"	3226
	"Sigmoid Colon"	"21048"	"Vermont"	"50"	1225
	"Sigmoid Colon"	"21048"	"Virginia"	"51"	13669
	"Sigmoid Colon"	"21048"	"Washington"	"53"	11518
	"Sigmoid Colon"	"21048"	"West Virginia"	"54"	5363
	"Sigmoid Colon"	"21048"	"Wisconsin"	"55"	10906
	"Sigmoid Colon"	"21048"	"Wyoming"	"56"	1001
	"Large Intestine, NOS"	"21049"	"Alabama"	"01"	4653
	"Large Intestine, NOS"	"21049"	"Alaska"	"02"	326
	"Large Intestine, NOS"	"21049"	"Arizona"	"04"	5142
	"Large Intestine, NOS"	"21049"	"Arkansas"	"05"	2037
	"Large Intestine, NOS"	"21049"	"California"	"06"	14207
	"Large Intestine, NOS"	"21049"	"Colorado"	"08"	2188
	"Large Intestine, NOS"	"21049"	"Connecticut"	"09"	1685
	"Large Intestine, NOS"	"21049"	"Delaware"	"10"	647
	"Large Intestine, NOS"	"21049"	"District of Columbia"	"11"	527
	"Large Intestine, NOS"	"21049"	"Florida"	"12"	15211
	"Large Intestine, NOS"	"21049"	"Georgia"	"13"	4604
	"Large Intestine, NOS"	"21049"	"Hawaii"	"15"	448
	"Large Intestine, NOS"	"21049"	"Idaho"	"16"	548
	"Large Intestine, NOS"	"21049"	"Illinois"	"17"	6853
	"Large Intestine, NOS"	"21049"	"Indiana"	"18"	3317
	"Large Intestine, NOS"	"21049"	"Iowa"	"19"	1692
	"Large Intestine, NOS"	"21049"	"Kansas"	"20"	1402
	"Large Intestine, NOS"	"21049"	"Kentucky"	"21"	2325
	"Large Intestine, NOS"	"21049"	"Louisiana"	"22"	2215
	"Large Intestine, NOS"	"21049"	"Maine"	"23"	931
	"Large Intestine, NOS"	"21049"	"Maryland"	"24"	4471
	"Large Intestine, NOS"	"21049"	"Massachusetts"	"25"	3554
	"Large Intestine, NOS"	"21049"	"Michigan"	"26"	6829
	"Large Intestine, NOS"	"21049"	"Minnesota"	"27"	1849
	"Large Intestine, NOS"	"21049"	"Mississippi"	"28"	1712
	"Large Intestine, NOS"	"21049"	"Missouri"	"29"	3608
	"Large Intestine, NOS"	"21049"	"Montana"	"30"	628
	"Large Intestine, NOS"	"21049"	"Nebraska"	"31"	1163
	"Large Intestine, NOS"	"21049"	"Nevada"	"32"	2267
	"Large Intestine, NOS"	"21049"	"New Hampshire"	"33"	831
	"Large Intestine, NOS"	"21049"	"New Jersey"	"34"	5848
	"Large Intestine, NOS"	"21049"	"New Mexico"	"35"	1382
	"Large Intestine, NOS"	"21049"	"New York"	"36"	12675
	"Large Intestine, NOS"	"21049"	"North Carolina"	"37"	5580
	"Large Intestine, NOS"	"21049"	"North Dakota"	"38"	357
	"Large Intestine, NOS"	"21049"	"Ohio"	"39"	10663
	"Large Intestine, NOS"	"21049"	"Oklahoma"	"40"	3955
	"Large Intestine, NOS"	"21049"	"Oregon"	"41"	2343
	"Large Intestine, NOS"	"21049"	"Pennsylvania"	"42"	8260
	"Large Intestine, NOS"	"21049"	"Rhode Island"	"44"	553
	"Large Intestine, NOS"	"21049"	"South Carolina"	"45"	3750
	"Large Intestine, NOS"	"21049"	"South Dakota"	"46"	645
	"Large Intestine, NOS"	"21049"	"Tennessee"	"47"	4092
	"Large Intestine, NOS"	"21049"	"Texas"	"48"	18229
	"Large Intestine, NOS"	"21049"	"Utah"	"49"	571
	"Large Intestine, NOS"	"21049"	"Vermont"	"50"	370
	"Large Intestine, NOS"	"21049"	"Virginia"	"51"	5139
	"Large Intestine, NOS"	"21049"	"Washington"	"53"	2898
	"Large Intestine, NOS"	"21049"	"West Virginia"	"54"	1344
	"Large Intestine, NOS"	"21049"	"Wisconsin"	"55"	3463
	"Large Intestine, NOS"	"21049"	"Wyoming"	"56"	265
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Alabama"	"01"	14000
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Alaska"	"02"	1805
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Arizona"	"04"	15996
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Arkansas"	"05"	9193
